Record #,Label_UPC,Nielsen  Item Rank UPC,Nieslen Category,Label Description,Brand,Manufacturer,Country,Package Size,Package Size UofM,Number of Units,Storage Type,Storage Statements,Collection Date,Health Claims,Nutrient Claims,Other Package Statements,Suggested  Use/Directions,Ingredients,Multipart ?,Nutrition Facts Table,Common Household Measure,Per Serving Amount,Per Serving UofM,Per Serving Amount as PPD,Per Serving Amount As PPD UofM,PerServing Energy (kcal),Per Serving Energy (kcal) as PPD,PerServing Energy (kJ),PerServing Energy (kJ) as PPD,Fat PerServing (g),Fat % DV ,Fat % DV as PPD,Fat (Saturated) PerServing (g),Fat (Trans) PerServing (g),Fat (Saturated + Trans) % DV,Fat (Saturated + Trans) % DV as PPD,Fats (Polyunsaturated) PerServing (g),Fats (Omega-6 Polyinsaturated) PerServing (g),Fats (Omega-3 Polyinsaturated) PerServing (g),Fats (Monounsaturated) PerServing (g),Carbohydrates PerServing  (g),Carbohydrates % DV ,Carbohydrates % DV as PPD , Fibre PerServing (g),Fibre % DV ,Fibre % DV as PPD,Fibre (soluble) PerServing (g),Fibre (insoluble)PerServing (g),Sugar (Total) PerServing (g),Sugar (Total) % DV,Sugar (Total) % DV as PPD,Sugar (Alchols) PerServing (g),Starch  PerServing (g), Protein PerServing (g),Cholesterol PerServing  (mg),Cholesterol % DV,Cholesterol % DV as PPD, Sodium PerServing (mg), Sodium % DV, Sodium % DV as PPD,Potassium PerServing (mg),Potassium % DV,Potassium % DV as PPD,Calcium PerServing (mg),Calcium  % DV,Calcium  % DV as PPD,Iron PerServing (mg),Iron % DV,Iron % DV as PPD,Vitamin A PerServing (um),Vitamin A % DV,Vitamin A % DV as PPD,Vitamin C PerServing (mg),Vitamin C % DV,Vitamin C % DV as PPD,Vitamin D PerServing (um),Vitamin D % DV,Vitamin D % DV as PPD,Vitamin E PerServing (mg),Vitamin E % DV,Vitamin E % DV as PPD,Vitamin K PerServing (ug),Vitamin K % DV,Vitamin K % DV as PPD,Thiamine PerServing (mg),Thiamine % DV,Thiamine % DV as PPD,Riboflavin PerServing (mg),Riboflavin % DV,Riboflavin % DV as PPD,Niacin PerServing (mg),Niacin % DV,Niacin % DV as PPD,Vitamin B6 PerServing (mg),Vitamin B6 % DV,Vitamin B6 % DV as PPD,Folate PerServing (ug),Folate % DV,Folate % DV as PPD,Vitamin B12 PerServing (ug),Vitamin B12 % DV,Vitamin B12 % DV as PPD,Biotin PerServing (ug),Biotin % DV,Biotin % DV as PPD,Choline PerServing (mg),Choline % DV,Choline % DV as PPD,Pantothenate PerServing (mg),Pantothenate % DV,Pantothenate % DV as PPD,Phosphorus PerServing (mg),Phosphorus % DV,Phosphorus % DV as PPD,Iodide PerServing (ug),Iodide % DV,Iodide % DV as PPD,Magnesium PerServing (mg),Magnesium % DV,Magnesium % DV as PPD,Zinc PerServing (mg),Zinc % DV,Zinc % DV as PPD,Selenium PerServing (ug),Selenium % DV,Selenium % DV as PPD,Copper PerServing (mg) ,Copper % DV,Copper % DV as PPD,Manganese PerServing (mg),Manganese % DV,Manganese % DV as PPD,Chromium PerServing (ug),Chromium % DV,Chromium % DV as PPD,Molybdenum PerServing (ug),Molybdenum % DV,Molybdenum % DV as PPD,Chloride PerServing (mg),Chloride % DV,Chloride % DV as PPD,Per Serving Amount in Grams,Per Serving Amount in Grams as PPD,Comment,Source,Product Description
46,068200889375,6820088937,NATURAL_CHEESE_EXACT_WEIGHT,Black Diamond Cheestrings Ficello Pizza Mozzarella Cheese 885 g,Black Diamond,"Black Diamond. Parmalat Canada
Toronto ON M9C 5J1",,588,g,,Chill,Keep refrigerated,2016-04-14,"- DHA, an omega-3 fatty acid, supports the normal physical development of the brain, eyes and nerves primarily in children under two years of age.*
* Naturally occurring DHA from Cows fed an enriched diet containing Omega-3 fatty acid, DHA.
On The Go, In Lunches, After School","With Omega-3 Fatty Acid DHA + High in protein** + 125 mL milk + Source of calcium + only 60 Calories
**6 g of Protein per Cheestrings snack.
DHA with omega-3 fatty acid","- 1 Cheestring snack is equal to 40% of one serving of milk & milk alternatives as per Canada's Food Guide.††
- Cheestrings snack are convenient anytime because each one is individually wrapped. ††50 g of cheese = serving of milk & milk alternatives
Marbelicious 
Stringable
100% real cheese Dairy goodness.. Contains Milk. ", ,"Milk,Modified milk ingredients,Cream,Salt,Calcium chloride,Colour,Bacterial culture,Microbial enzyme",,"Per 1 stick (21 g)
Calories: 60,Fat : 4 g,Saturated: 2.5 g,+ Trans : 0.1 g,Polyunsaturated: 0.1 g,Omega-6: 0.1 g,Omega-3: 0.1 g,Monounsaturated: 1.5 g,Cholesterol : 10 mg,Sodium : 140 mg,Carbohydrate : 0 g,Fibre : 0 g,Sugars : 0 g,Protein : 6 g,Vitamin A,Vitamin C,Calcium,Iron

% Daily Value
Calories,Fat : 6 %,Saturated: 13 %,+ Trans ,Polyunsaturated,Omega-6,Omega-3,Monounsaturated,Cholesterol ,Sodium : 6 %,Carbohydrate : 0 %,Fibre : 0 %,Sugars ,Protein ,Vitamin A: 4 %,Vitamin C: 0 %,Calcium: 15 %,Iron: 0 %",Per 1 stick ,21,g,,,60,,,,4,6,,2.5,0.1,13,,0.1,0.1,0.1,1.5,0,0,,0,0,,,,0,,,,,6,10,,,140,6,,,,,,15,,,0,,,4,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,Nielsen,
47,068200805092,6820080509,PROCESSED_CHEESE_SLICES,Black Diamond Genre Swiss Style 24 Slices 450 g,Black Diamond,"Black Diamond. Parmalat Canada
Toronto ON M9C 5J1",,450,g,24,Chill,Keep refrigerated,2016-03-31,,"High in protein
Fat free
No trans fat
Low in cholesterol
Source of calcium","Individually wrapped slices. Contains Milk
Contains Soya", ,"Made from modified milk ingredients,Water,Glucose,Sodium citrate and/or sodium phosphate,Cheese (milk, modified milk ingredients, bacterial culture, salt, rennet and/or microbial enzyme, calcium chloride, lipase, sorbic acid),Salt,Acetic acid,Sorbic acid,Citric acid,May contain soy lecithin, carrageenan, carboxymethylcellulose, lactic acid",,"Per 1 slice (19 g)
Calories: 30,Fat : 0.3 g, Saturated: 0.2 g, + Trans: 0 g,Cholesterol : 5 mg,Sodium: 300 mg,Carbohydrate : 3 g, Fibre : 0 g, Sugars : 2 g,Protein : 4 g,Vitamin A,Vitamin C,Calcium,Iron,* DV = Daily Value

% DV*
Calories,Fat : 1 %, Saturated: 1 %, + Trans,Cholesterol ,Sodium: 3 %,Carbohydrate : 1 %, Fibre : 0 %, Sugars ,Protein ,Vitamin A: 2 %,Vitamin C: 0 %,Calcium: 10 %,Iron: 0 %,* DV = Daily Value",Per 1 slice ,19,g,,,30,,,,0.3,1,,0.2,0,1,,,,,,3,1,,0,0,,,,2,,,,,4,5,,,300,3,,,,,,10,,,0,,,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,Nielsen,
48,039978304612,3997830461,BREAD__ROLL__PIZZA_MIXES,Bob's Red Mill Cornbread Mix 566 g,Bob's Red Mill,"Bob's Red Mill. Bob's Red Mill Natural Foods Inc.
13521 SE Pheasant Court
Milwaukie Oregon 97222
USA",,566,g,,Ambient,"Store in a cool, dry place to preserve freshness",2016-04-13,,,"Free From Gluten. Gluten free
Kosher", ,"Whole grain cornmeal,Potato starch,Whole grain sorghum flour,Sugar,Whole grain corn flour,Tapioca flour,Baking powder (sodium acid pyrophosphate, sodium bicarbonate, cornstarch, monocalcium phosphate),Sea salt,Xanthan gum",,"Serv. Size 1/16 package (35 g mix)
Calories: 120,Total Fat: 0.5 g,Saturated: 0.1 g,+ Trans: 0 g,Cholest.: 0 mg,Sodium : 330 mg,Total Carb.: 28 g,Fibre : 4 g,Sugars: 4 g,Protein : 2 g,Vitamin A,Vitamin C,Calcium,Iron,* DV = Daily Value

%DV*
Calories,Total Fat: 1%,Saturated: 1%,+ Trans,Cholest.: 0%,Sodium : 14%,Total Carb.: 9%,Fibre : 16%,Sugars,Protein ,Vitamin A: 0%,Vitamin C: 0%,Calcium: 0%,Iron: 4%,* DV = Daily Value

As Prepared
Calories,Total Fat: 11%,Saturated: 22%,+ Trans,Cholest.: 0%,Sodium : 15%,Total Carb.: 10%,Fibre : 16%,Sugars,Protein ,Vitamin A: 8%,Vitamin C: 0%,Calcium: 4%,Iron: 4%,* DV = Daily Value",Serv. Size 1/16 package ,35,g,,,120,,,,0.5,1,11,0.1,0,1,,,,,,28,9,10,4,16,16,,,4,,,,,2,0,0,0,330,14,15,,,,,0,4,,4,4,,0,8,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,62,,Nielsen,
49,039978303943,3997830394,BREAD__ROLL__PIZZA_MIXES,Bob's Red Mill Pizza Crust Mix 453 g,Bob's Red Mill,"Bob's Red Mill. Bob's Red Mill Natural Foods, Inc.
13521 SE Pheasant Court
Milwaukie Oregon 97222
U.S.A.",,453,g,,Ambient,"Store in a cool, dry place to preserve freshness",2016-03-29,,,"Free From Gluten. Gluten free
Kosher", ,"Mix: whole grain brown rice flour, potato starch, whole grain millet flour, whole grain sorghum flour, tapioca flour, potato flour, cane sugar, xanthan gum, sea salt, guar gum,Yeast packet: yeast, sorbitan monostearate, ascorbic acid",,"Per 1 Slice (57 g mix) (¼ of 12"" or ? of 16"")
Calories ,Fat : 1 g*,Saturated: 0.2 g,+ Trans: 0 g,Cholesterol: 0 mg,Sodium : 350 mg,Carbohydrate : 45 g,Fibre : 4 g,Sugars: 3 g,Protein : 3 g,Vitamin A,Vitamin C,Calcium,Iron,*Amount in Mix

Mix
Calories: 200 % Daily Value,Fat : 2 %,Saturated: 1 %,+ Trans,Cholesterol,Sodium : 15 %,Carbohydrate : 15 %,Fibre : 16 %,Sugars,Protein ,Vitamin A: 0 %,Vitamin C: 0 %,Calcium: 0 %,Iron: 4 %,*Amount in Mix

Prepared
Calories: 250 % Daily Value,Fat : 8 %,Saturated: 5 %,+ Trans,Cholesterol,Sodium : 15 %,Carbohydrate : 15 %,Fibre : 16 %,Sugars,Protein ,Vitamin A: 2 %,Vitamin C: 0 %,Calcium: 2 %,Iron: 6 %,*Amount in Mix",Per 1 Slice ,57,g,,,200,,,,1,2,8,0.2,0,1,,,,,,45,15,15,4,16,16,,,3,,,,,3,0,,,350,15,15,,,,,0,2,,6,6,,0,2,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,89,,Nielsen,
50,039978304544,3997830454,BREAD__ROLL__PIZZA_MIXES,Bob's Red Mill Bread Mix 453 g,Bob's Red Mill,"Bob's Red Mill. Bob's Red Mill Natural Foods, Inc.
13521 SE Pheasant Court
Milwaukie Oregon 97222
USA",,453,g,,Ambient,"Store in a cool, dry place to preserve freshness",2016-03-29,,,"Homemade wonderful
Gluten free
Kosher. Free From Gluten", ,"Bread mix: whole grain sorghum flour, potato starch, cornstarch, pea protein powder, tapioca starch, sugar, xanthan gum, salt, guar gum,Yeast packet: yeast, sorbitan monostearate, ascorbic acid",,"Serv. Size 1 slice (28 g mix)
Calories: 100,Total Fat: 0.3 g,Saturated: 0.1 g,+ Trans: 0 g,Cholest.: 0 mg,Sodium : 270 mg,Total Carb.: 21 g,Fibre : 2 g,Sugars: 2 g,Protein : 3 g,Vitamin A,Vitamin C,Calcium,Iron,* DV = Daily Value

%DV*
Calories,Total Fat: 1%,Saturated: 1%,+ Trans,Cholest.: 0%,Sodium : 11%,Total Carb.: 7%,Fibre : 8%,Sugars,Protein ,Vitamin A: 0%,Vitamin C: 0%,Calcium: 0%,Iron: 6%,* DV = Daily Value

As Prepared
Calories,Total Fat: 5%,Saturated: 11%,+ Trans,Cholest.: 0%,Sodium : 12%,Total Carb.: 7%,Fibre : 8%,Sugars,Protein ,Vitamin A: 2%,Vitamin C: 0%,Calcium: 0%,Iron: 6%,* DV = Daily Value",Serv. Size 1 slice ,28,g,,,100,,,,0.3,1,5,0.1,0,1,,,,,,21,7,7,2,8,8,,,2,,,,,3,0,0,0,270,11,12,,,,,0,0,,6,6,,0,2,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,58,,Nielsen,
51,071464200602,7146420060,VEGETABLE_JUICES,Bolthouse Farms 100% Carrot Vegetable Juice 946 ml,Bolthouse Farms,"Bolthouse Juice Products LLC
Bakersfield CA 93307",United States,946,mL,,Chill,Keep refrigerated,2016-03-24,,,,Shake well,Carrot juice,,"Serving Size 250 mL
Calories: 70,Fat : 0 g, Saturated : 0 g, + Trans : 0 g,Cholesterol : 0 mg,Sodium : 170 mg,Potassium : 560 mg,Carbohydrate : 15 g, Fiber: 2 g, Sugars : 13 g,Protein : 1 g,Vitamin A,Vitamin C,Calcium,Iron

% Daily Value
Calories,Fat : 0 %, Saturated : 0 %, + Trans ,Cholesterol ,Sodium : 7 %,Potassium : 16 %,Carbohydrate : 5 %, Fiber: 8 %, Sugars ,Protein ,Vitamin A: 380 %,Vitamin C: 4 %,Calcium: 4 %,Iron: 4 %",Serving Size 250 mL,250,mL,,,70,,,,0,0,,0,0,,,,,,,15,5,,2,8,,,,13,,,,,1,0,0,,170,7,,560,16,,,4,,,4,,,380,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,249,,Nielsen,
52,061077840005,6107784000,BREAD_COMMERCIAL,Bon Matin 14 Bread with Whole Grain 600 g,Bon Matin,"Multi-Marques
Laval Quebec H7L 5A5
Canada",,600,g,,Ambient,,2016-04-13,,,"May Contain Mustard 
Kosher
The Whole Grains Council - whole grain 14 g / portion",,"Water,Whole grain whole wheat flour including the germ,Enriched wheat flour,14 grain blend (cracked wheat, pearled barley, cornmeal, hulled buckwheat grits, oat flakes, cracked sorghum, cracked brown rice, cracked rye, millet, cracked triticale, sunflower seeds, flaxseeds, poppy seeds, sesame seeds),Milled flaxseed,Wheat gluten,Fancy molasses,Yeast*,Salt,Wheat bran,Vinegar,Calcium propionate,Acetylated tartaric acid esters of mono and diglycerides,Sodium stearoyl-2-lactylate,Soy lecithin",,"Per 1 slice (40 g)
Calories: 100,Fat : 1.5 g,Saturated: 0.3 g,+ Trans: 0 g,Polyunsaturated: 0.9 g,Omega-6: 0.4 g,Omega-3: 0.4 g,Monounsaturated: 0.3 g,Cholesterol : 0 mg,Sodium : 190 mg,Potassium : 80 mg,Carbohydrate : 17 g,Fibre : 2 g,Sugars : 1 g,Protein : 4 g,Vitamin A,Vitamin C,Calcium,Iron,Thiamine,Riboflavin,Niacin,Folate,Phosphorus,Magnesium,Zinc,Selenium,Manganese

% Daily Value
Calories,Fat : 2 %,Saturated: 2 %,+ Trans,Polyunsaturated,Omega-6,Omega-3,Monounsaturated,Cholesterol ,Sodium : 8 %,Potassium : 2 %,Carbohydrate : 6 %,Fibre : 8 %,Sugars ,Protein ,Vitamin A: 0 %,Vitamin C: 0 %,Calcium: 4 %,Iron: 8 %,Thiamine: 10 %,Riboflavin: 4 %,Niacin: 6 %,Folate: 10 %,Phosphorus: 6 %,Magnesium: 10 %,Zinc: 6 %,Selenium: 20 %,Manganese: 20 %",Per 1 slice ,40,g,,,100,,,,1.5,2,,0.3,0,2,,0.9,0.4,0.4,0.3,17,6,,2,8,,,,1,,,,,4,0,0,,190,8,,80,2,,,4,,,8,,,0,,,0,,,,,,,,,,,,10,,,4,,,6,,,,,,10,,,,,,,,,,,,,,,6,,,,,,10,,,6,,,20,,,,,,20,,,,,,,,,,,40,,,Nielsen,
53,061077940224,6107794022,BREAD_COMMERCIAL,Bon Matin Multigrains Whole Grain Bread 600 g,Bon Matin,"Multi-Marques
Laval Quebec H7L 5A5
Canada",,600,g,,Ambient,,2016-04-13,,,"Texture plus tender
The Whole Grain Council - Whole Grain 21g / portion",,"Whole grain whole flour including the germ,Water,Grain blend (flaxseed, rye meal, barley flakes, cracked wheat, cracked red fife wheat),Brown sugar,Wheat gluten*,Vegetable oil (canola or soybean),Seed blend (sunflower seeds, pumpkin seeds, sesame seeds, flaxseed),Triticale flakes,Yeast*,Potato flour,Soluble raisin syrup (raisin solids, water),Salt,Vinegar,Calcium propionate,Acetylated tartaric acid esters of mono and diglycerides,Sodium stearoyl-2-lactylate,Natural flavour,Soybean lecithin,*Order may change",,"Per 1 slice (43 g)
Calories: 120,Fat : 2.5 g,Saturated: 0.4 g,+ Trans : 0 g,Polyunsaturated: 1.5 g,Omega-6: 1 g,Omega-3: 0.3 g,Monounsaturated: 0.5 g,Cholesterol : 0 mg,Sodium : 150 mg,Potassium : 105 mg,Carbohydrate : 19 g,Fibre : 2 g,Sugars : 2 g,Protein : 5 g,Vitamin A,Vitamin C,Calcium,Iron,Thiamine,Riboflavin,Niacin,Folate,Phosphorus,Magnesium,Zinc,Selenium,Manganese

% Daily Value
Calories,Fat : 4 %,Saturated: 2 %,+ Trans ,Polyunsaturated,Omega-6,Omega-3,Monounsaturated,Cholesterol ,Sodium : 6 %,Potassium : 3 %,Carbohydrate : 6 %,Fibre : 8 %,Sugars ,Protein ,Vitamin A: 0 %,Vitamin C: 0 %,Calcium: 2 %,Iron: 8 %,Thiamine: 8 %,Riboflavin: 4 %,Niacin: 4 %,Folate: 10 %,Phosphorus: 6 %,Magnesium: 10 %,Zinc: 8 %,Selenium: 30 %,Manganese: 30 %",Per 1 slice ,43,g,,,120,,,,2.5,4,,0.4,0,2,,1.5,1,0.3,0.5,19,6,,2,8,,,,2,,,,,5,0,0,,150,6,,105,3,,,2,,,8,,,0,,,0,,,,,,,,,,,,8,,,4,,,4,,,,,,10,,,,,,,,,,,,,,,6,,,,,,10,,,8,,,30,,,,,,30,,,,,,,,,,,43,,,Nielsen,
54,061077651687,6107765168,BREAD_COMMERCIAL,Boulange Des Campagnards Rye Bread Belgian Style Artisan 675 g,Boulange Des Campagnards,"Multi-Marques
Laval Québec H7L 5A5
Canada",,675,g,,Ambient,,2016-04-13,,"Source of 5 essential nutrients
Low in fat","May Contain Eggs
May Contain Milk
May Contain Soya
May Contain Sesame",,"Enriched wheat flour,Water,Rye flour,Yeast*,Cornmeal,Wheat gluten,Salt,Sugar/glucose-fructose,Vegetable oil (canola or soybean),Ground caraway seeds,Malted wheat flour,Bacterial culture,Calcium propionate,Acetylated tartaric acid esters of mono and diglycerides,Sorbic acid,Monoglycerides,Malt extract,Lactic acid",,"Per 2 slices (50 g)
Calories: 120,Fat : 1 g,Saturated : 0.3 g,+ Trans : 0 g,Polyunsaturated : 0.5 g,Omega-6: 0.4 g,Omega-3: 0 g,Monounsaturated : 0.2 g,Cholesterol : 0 mg,Sodium : 220 mg,Potassium : 50 mg,Carbohydrate : 23 g,Fibre : 2 g,Sugars : 1 g,Protein : 4 g,Vitamin A,Vitamin C,Calcium,Iron,Thiamine,Riboflavin,Niacin,Folate,Phosphorus,Magnesium,Zinc

% Daily Value
Calories,Fat : 2 %,Saturated : 2 %,+ Trans ,Polyunsaturated ,Omega-6,Omega-3,Monounsaturated ,Cholesterol ,Sodium : 9 %,Potassium : 1 %,Carbohydrate : 8 %,Fibre : 8 %,Sugars ,Protein ,Vitamin A: 0 %,Vitamin C: 0 %,Calcium: 2 %,Iron: 10 %,Thiamine: 15 %,Riboflavin: 8 %,Niacin: 6 %,Folate: 20 %,Phosphorus: 4 %,Magnesium: 4 %,Zinc: 4 %",Per 2 slices,50,g,,,120,,,,1,2,,0.3,0,2,,0.5,0.4,0,0.2,23,8,,2,8,,,,1,,,,,4,0,0,,220,9,,50,1,,,2,,,10,,,0,,,0,,,,,,,,,,,,15,,,8,,,6,,,,,,20,,,,,,,,,,,,,,,4,,,,,,4,,,4,,,,,,,,,,,,,,,,,,,,50,,,Nielsen,
55,061077651618,6107765161,BREAD_COMMERCIAL,Boulange des Campagnards Artisan Bread 12 Grain Belgian Style 550 g,Boulange Des Campagnards,"Multi-Marques
Laval Québec H7L 5A5
Canada",,550,g,,Ambient,,2016-04-19,,,"May Contain Milk
May Contain Soya",,"Enriched wheat flour,Water,Grain and seed blend (flaxseeds, corn semolina, cracked wheat, barley, brown rice, rye, oats, buckwheat, sesame seeds, millet, triticale, durum wheat),Flaxseeds,Cornmeal,Honey,Sunflower seeds,Wheat gluten,Yeast*,Salt,Wheat bran,Oat bran,Sesame seeds,Vegetable oil (canola or soybean),Vinegar,Rye flour,Bacterial culture,Calcium propionate,Monoglycerides,Sodium stearoyl-2-lactylate,Sorbic acid",,"Per 2 slices (58 g)
Calories: 160,Fat : 3,5 g, Saturated : 0,5 g, + Trans : 0 g, Polyunsaturated : 2 g, Omega-6: 1 g, Omega-3: 0,8 g, Monounsaturated : 0,8 g,Cholesterol : 0 mg,Sodium : 260 mg,Potassium : 90 mg,Carbohydrate : 26 g, Fibre : 2 g, Sugars : 2 g,Protein : 6 g,Vitamin A,Vitamin C,Calcium,Iron,Vitamin D,Thiamine,Riboflavin,Niacin,Vitamin B6,Folate,Pantothenate,Phosphorus,Magnesium,Zinc,Selenium,Manganese,Molybdenum

% Daily Amount
Calories,Fat : 5 %, Saturated : 3 %, + Trans , Polyunsaturated , Omega-6, Omega-3, Monounsaturated ,Cholesterol ,Sodium : 11 %,Potassium : 3 %,Carbohydrate : 9 %, Fibre : 8 %, Sugars ,Protein ,Vitamin A: 0 %,Vitamin C: 0 %,Calcium: 4 %,Iron: 15 %,Vitamin D: 0 %,Thiamine: 20 %,Riboflavin: 10 %,Niacin: 8 %,Vitamin B6: 4 %,Folate: 25 %,Pantothenate: 2 %,Phosphorus: 8 %,Magnesium: 15 %,Zinc: 6 %,Selenium: 30 %,Manganese: 15 %,Molybdenum: 15 %",Per 2 slices ,58,g,,,160,,,,3.5,5,,0.5,0,3,,2,1,0.8,0.8,26,9,,2,8,,,,2,,,,,6,0,,,260,11,,90,3,,,4,,,15,,,0,,,0,,,0,,,,,,,,,20,,,10,,,8,,,4,,,25,,,,,,,,,,,,2,,,8,,,,,,15,,,6,,,30,,,,,,15,,,,,,15,,,,,58,,,Nielsen,
56,079813000477,7981300047,NATURAL_CHEESE_EXACT_WEIGHT,Boursin Spiced Fresh Soft Cheese Cranberry & Pepper 150 g,Boursin,"C.P. 67 Succ. Place d'Armes
Montréal Québec H2Y 3E9",Canada,150,g,,Chill,Keep refrigerated between +2°C and +6°C,2016-04-13,,,100% Canadian milk,Remove from refrigeration one hour before consumption,"Pasteurized milk and cream,Cranberries* (sugar, cranberries, sunflower oil),Salt,Black pepper,Potassium sorbate,Bacterial culture,(*Dried)",,"Per 2 tbsp (30 g)
Calories: 120,Fat: 12 g,Saturated: 7 g,+ Trans: 0.3 g,Cholesterol: 35 mg,Sodium: 85 mg,Carbohydrate: 2 g,Fibre: 0 g,Sugars: 1 g,Protein: 2 g,Vitamin A,Vitamin C,Calcium,Iron

% Daily Value
Calories,Fat: 18 %,Saturated: 37 %,+ Trans,Cholesterol: 12 %,Sodium: 4 %,Carbohydrate: 1 %,Fibre: 0 %,Sugars,Protein,Vitamin A: 8 %,Vitamin C: 0 %,Calcium: 2 %,Iron: 0 %",Per 2 tbsp ,30,g,,,120,,,,12,18,,7,0.3,37,,,,,,2,1,,0,0,,,,1,,,,,2,35,12,,85,4,,,,,,2,,,0,,,8,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,Nielsen,
57,041757680381,4175768038,NATURAL_CHEESE_EXACT_WEIGHT,Boursin Spiced Fresh Soft Cheese Red Chili Pepper 150 g,Boursin,"C.P. 67 Succ. Place D'Armes
Montréal Québec H2Y 3E9",Canada,150,g,,Chill,Keep refrigerated between +2°C and +6°C,2016-04-13,,,100% Canadian milk,Remove from refrigeration one hour before consumption,"Pasteurized milk and cream,Red bell pepper*,Salt,Bacterial culture,Spice,Potassium sorbate,Cayenne pepper extract,(*Dried)",,"Per 2 tbsp (30 g)
Calories: 130,Fat: 13 g,Saturated: 9 g,+ Trans: 0.4 g,Cholesterol: 35 mg,Sodium: 135 mg,Carbohydrate: 1 g,Fibre: 0 g,Sugars: 1 g,Protein: 2 g,Vitamin A,Vitamin C,Calcium,Iron

% Daily Value
Calories,Fat: 20 %,Saturated: 47 %,+ Trans,Cholesterol: 12 %,Sodium: 6 %,Carbohydrate: 1 %,Fibre: 0 %,Sugars,Protein,Vitamin A: 10 %,Vitamin C: 0 %,Calcium: 2 %,Iron: 0 %",Per 2 tbsp ,30,g,,,130,,,,13,20,,9,0.4,47,,,,,,1,1,,0,0,,,,1,,,,,2,35,12,,135,6,,,,,,2,,,0,,,10,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,Nielsen,
58,06143733,6140000037,SOUP,Bovril Bouillon Concentrate Vegetable 250 ml,Bovril,"Unilever Canada
Toronto Ontario M4W 3R2
",,250,mL,,Ambient,,2016-04-13,,,"May Contain Wheat
May Contain Milk
May Contain Soya 
15 Calories/10 mL","Directions: Shake Well. For broth, add 2 tsp (10 mL) to 1 cup (250 mL) boiling water.","Water,Corn syrup solids,Salt,Vegetable juice concentrates (carrot, celery, onion),Dried vegetables (tomatoes, onions, green & red bell peppers, carrots, garlic, beets),Hydrolyzed corn protein,Sugar,Monosodium glutamate,Corn syrup,Spices,Dehydrated parsley,Xanthan gum,Disodium guanylate,Disodium inosinate,Silicon dioxide and sulphites",,"Per 2 tsp (10 mL)
Calories: 15,Fat: 0 g,Saturated: 0 g,+ Trans: 0 g,Cholesterol: 0 mg,Sodium: 720 mg,Carbohydrate: 4 g,Fibre: 0 g,Sugars: 2 g,Protein: 0.3 g,Vitamin A,Vitamin C,Calcium,Iron

% Daily Value
Calories,Fat: 0 %,Saturated: 0 %,+ Trans,Cholesterol,Sodium: 30 %,Carbohydrate: 1 %,Fibre: 0 %,Sugars,Protein,Vitamin A: 0 %,Vitamin C: 2 %,Calcium: 0 %,Iron: 0 %",Per 2 tsp ,10,mL,,,15,,,,0,0,,0,0,0,,,,,,4,1,,0,0,,,,2,,,,,0.3,0,,,720,30,,,,,,0,,,0,,,0,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,264,,Nielsen,
